"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
50,50.0100898742676,50.004222869873
50.8169533934091,50.8034706115723,50.729923248291
51.6472550437581,51.6447906494141,51.5853691101074
52.4911230491234,52.4733581542969,52.3814239501953
53.3487790711,53.3406448364258,53.2796173095703
54.2204483930273,54.2083778381348,54.1396026611328
55.1063599791642,55.091423034668,55.0135192871094
56.0067465348322,55.9933395385742,55.9015655517578
56.9218445675408,56.9351501464844,56.7904586791992
57.8518944491119,57.8358840942383,57.7529487609863
58.7971404788188,58.7817916870117,58.6783828735352
59.7578309475572,59.7533226013184,59.691104888916
60.7342182030646,60.7178039550781,60.6579093933105
61.7265587162054,61.7143363952637,61.6975593566895
62.7351131483387,62.7188949584961,62.7075271606445
63.7601464197874,63.758487701416,63.742748260498
64.8019277794255,64.7857666015625,64.8512878417969
65.8607308754025,65.8491668701172,65.8846130371094
66.9368338270237,66.9317169189453,66.9955825805664
68.0305192978046,68.0213241577148,68.1017074584961
69.142074569719,69.1357879638672,69.2104034423828
70.2717916186605,70.2571868896484,70.3427505493164
71.4199671911364,71.4070129394531,71.4929809570312
72.5869028822157,72.5721664428711,72.6679229736328
73.7729052147493,73.7745132446289,73.8361511230469
74.9782857198859,74.9720001220703,75.0393142700195
76.203361018903,76.1956787109375,76.2680358886719
77.4484529063744,77.4450073242188,77.5088424682617
78.7138884346972,78.6999816894531,78.7927932739258
80.0000000000002,79.9960403442383,80.0634841918945

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)","Ch-2 (dBr)"
50,-11.0662337618488,5.70878446260608
50.8169533934091,-11.0581852664126,5.53493142936537
51.6472550437581,-11.0615043281074,5.24973992665133
52.4911230491234,-11.057606199802,4.93691549569425
53.3487790711,-11.0607054101257,4.58131834035507
54.2204483930273,-11.059395031473,4.16750744207469
55.1063599791642,-11.0580234568514,3.69129184059144
56.0067465348322,-11.0580338625203,3.08852622000489
56.9218445675408,-11.0647116694273,2.48743410779773
57.8518944491119,-11.057014166217,1.80900135868596
58.7971404788188,-11.0573564794851,1.00023268136924
59.7578309475572,-11.0609630336298,0.153009400053762
60.7342182030646,-11.0580609173177,-0.667579455698266
61.7265587162054,-11.0583881829843,-1.47617905570383
62.7351131483387,-11.0572586743176,-2.05717095355427
63.7601464197874,-11.0604316609981,-2.36091391725349
64.8019277794255,-11.0569392544743,-2.14046854692114
65.8607308754025,-11.0590568006164,-1.64699557991264
66.9368338270237,-11.0603785775652,-0.907427899665303
68.0305192978046,-11.0587295097572,-0.077773478919452
69.142074569719,-11.0597051747261,0.757738555632
70.2717916186605,-11.0574860210033,1.54325873935699
71.4199671911364,-11.058372053545,2.23131836162915
72.5869028822157,-11.056846135917,2.85439801652082
73.7729052147493,-11.0611238570244,3.39331983377336
74.9782857198859,-11.0599471565992,3.87941900040277
76.203361018903,-11.0591889692603,4.30467069884595
77.4484529063744,-11.0592675429112,4.67194302532407
78.7138884346972,-11.0579209616792,4.99768747254129
80.0000000000002,-11.0594678829199,5.30546984744525

